,age,num,proportion
0,0,6225,0.007256344201335867
1,1,6225,0.007256344201335867
2,2,6225,0.007256344201335867
3,3,6225,0.007256344201335867
4,4,6225,0.007256344201335867
5,5,6907,0.008051336449578608
6,6,6907,0.008051336449578608
7,7,6907,0.008051336449578608
8,8,6907,0.008051336449578608
9,9,6907,0.008051336449578608
10,10,7223,0.0084196906291163
11,11,7223,0.0084196906291163
12,12,7223,0.0084196906291163
13,13,7223,0.0084196906291163
14,14,7223,0.0084196906291163
15,15,7068,0.008239010572697495
16,16,7068,0.008239010572697495
17,17,7068,0.008239010572697495
18,18,7068,0.008239010572697495
19,19,7068,0.008239010572697495
20,20,7597,0.008855654120088124
21,21,7597,0.008855654120088124
22,22,7597,0.008855654120088124
23,23,7597,0.008855654120088124
24,24,7597,0.008855654120088124
25,25,8909,0.010385023371839556
26,26,8909,0.010385023371839556
27,27,8909,0.010385023371839556
28,28,8909,0.010385023371839556
29,29,8909,0.010385023371839556
30,30,9937,0.011583340133120403
31,31,9937,0.011583340133120403
32,32,9937,0.011583340133120403
33,33,9937,0.011583340133120403
34,34,9937,0.011583340133120403
35,35,10247,0.011944700245958012
36,36,10247,0.011944700245958012
37,37,10247,0.011944700245958012
38,38,10247,0.011944700245958012
39,39,10247,0.011944700245958012
40,40,11693,0.013630270320677958
41,41,11693,0.013630270320677958
42,42,11693,0.013630270320677958
43,43,11693,0.013630270320677958
44,44,11693,0.013630270320677958
45,45,13755,0.016033897909939733
46,46,13755,0.016033897909939733
47,47,13755,0.016033897909939733
48,48,13755,0.016033897909939733
49,49,13755,0.016033897909939733
50,50,13819,0.01610850128807395
51,51,13819,0.01610850128807395
52,52,13819,0.01610850128807395
53,53,13819,0.01610850128807395
54,54,13819,0.01610850128807395
55,55,12556,0.014636250247706529
56,56,12556,0.014636250247706529
57,57,12556,0.014636250247706529
58,58,12556,0.014636250247706529
59,59,12556,0.014636250247706529
60,60,10969,0.012786319605534639
61,61,10969,0.012786319605534639
62,62,10969,0.012786319605534639
63,63,10969,0.012786319605534639
64,64,10969,0.012786319605534639
65,65,9766,0.011384009232168044
66,66,9766,0.011384009232168044
67,67,9766,0.011384009232168044
68,68,9766,0.011384009232168044
69,69,9766,0.011384009232168044
70,70,10070,0.01173837527830557
71,71,10070,0.01173837527830557
72,72,10070,0.01173837527830557
73,73,10070,0.01173837527830557
74,74,10070,0.01173837527830557
75,75,8859,0.0103267394826722
76,76,8859,0.0103267394826722
77,77,8859,0.0103267394826722
78,78,8859,0.0103267394826722
79,79,8859,0.0103267394826722
80,80,8106,0.009448984111811814
81,81,8106,0.009448984111811814
82,82,8106,0.009448984111811814
83,83,8106,0.009448984111811814
84,84,8106,0.009448984111811814
85,85,5163,0.006018394395421217
86,86,5163,0.006018394395421217
87,87,5163,0.006018394395421217
88,88,5163,0.006018394395421217
89,89,5163,0.006018394395421217
90,90,2144,0.0024992131674962405
91,91,2144,0.0024992131674962405
92,92,2144,0.0024992131674962405
93,93,2144,0.0024992131674962405
94,94,2144,0.0024992131674962405
95,95,513,0.0005979927028570762
96,96,513,0.0005979927028570762
97,97,513,0.0005979927028570762
98,98,513,0.0005979927028570762
99,99,513,0.0005979927028570762
100,100,24,2.7976266800331053e-05
101,101,24,2.7976266800331053e-05
102,102,24,2.7976266800331053e-05
103,103,24,2.7976266800331053e-05
104,104,24,2.7976266800331053e-05
105,105,24,2.7976266800331053e-05
106,106,24,2.7976266800331053e-05
107,107,24,2.7976266800331053e-05
108,108,24,2.7976266800331053e-05
109,109,24,2.7976266800331053e-05
